x,y,z
-75.24277496,-65.14763641,6.45448303
-75.18762970,-66.29109192,6.46769238
-75.08001709,-67.39693451,6.44759274
-74.82688904,-68.48898315,6.43830156
-74.50293732,-69.52549744,6.43772411
-74.13527679,-70.59530640,6.43050528
-73.60570526,-71.57029724,6.40322685
-72.95385742,-72.53800201,6.39940357
-72.22050476,-73.49839783,6.35106325
-71.61034393,-73.99610901,6.30256081
-70.71270752,-74.61281586,6.27471590
-69.76447296,-75.19954681,6.19635677
-68.78772736,-75.75745392,6.13848877
-67.73297119,-76.38676453,6.04901409
-66.89507294,-76.96393585,5.95548582
-66.06204987,-77.55589294,5.88178778
-65.18674469,-78.16976166,5.76135111
-64.28987885,-78.81562042,5.59494591
-63.40319443,-79.48258972,5.48581171
-62.47658920,-80.00159454,5.32730627
-61.49556351,-80.47429657,5.24026632
-60.55501175,-80.92260742,5.14164686
-59.55184174,-81.41481018,5.02800989
-58.54956436,-81.90567017,4.92986774
-57.55671692,-82.39496613,4.80717897
-56.66963959,-82.86000824,4.70875406
-55.77076721,-83.33586121,4.61933184
-54.70957947,-83.92048645,4.49581528
-53.67454910,-84.52209473,4.39300060
-52.64739990,-85.11882019,4.27953482
-51.60887909,-85.76084900,4.17185593
-50.59400558,-86.40170288,4.07598972
-49.48041916,-86.95816803,3.93832684
-48.57894135,-87.41676331,3.77066255
-47.63342667,-87.89238739,3.68427134
-46.62381744,-88.41955566,3.58854556
-45.64574051,-88.96826935,3.56847024
-44.74141312,-89.49501801,3.52362061
-43.73585129,-90.09442902,3.49052382
-42.78015518,-90.67362976,3.43297648
-41.77340698,-91.33028412,3.37117720
-40.87398911,-92.05588531,3.36027193
-40.31141281,-92.77845764,3.31281805
-40.01190948,-93.67585754,3.33765507
-39.97583008,-94.56174469,3.33035660
-40.18476868,-95.45075989,3.33185315
-40.58285904,-96.29568481,3.30655456
-41.13875961,-97.13191986,3.29229856
-41.60357285,-97.75906372,3.29241824
-41.60758591,-98.27259064,3.28581262
-41.56905746,-99.49525452,3.20873070
-41.31181335,-100.70211029,3.17005062
-40.75218201,-101.75598907,3.10029364
-40.08892822,-102.75279999,3.06109667
-39.41619873,-103.64899445,3.01434278
-38.75570297,-104.52289581,2.97720075
-38.12411118,-105.37717438,2.95145702
-37.39258575,-106.31644440,2.92762375
-36.69795990,-107.14035034,2.87479520
-35.99223709,-107.97321320,2.86957431
-35.25887680,-108.84921265,2.75371146
